Ingesta masiva de normas chilenas...
Bulk por año: 1990 → 2026
  año 1990 offset 1000 nuevas=0 total_db=29316
  año 1991 offset 1000 nuevas=0 total_db=29316
  año 1992 offset 1000 nuevas=0 total_db=29316
  año 1993 offset 1000 nuevas=0 total_db=29316
  año 1994 offset 1000 nuevas=0 total_db=29316
  año 1995 offset 1000 nuevas=0 total_db=29316
  año 1996 offset 1000 nuevas=0 total_db=29316
  año 1997 offset 1000 nuevas=0 total_db=29316
  año 1998 offset 1000 nuevas=0 total_db=29316
  año 1999 offset 1000 nuevas=0 total_db=29316
  año 2000 offset 1000 nuevas=0 total_db=29316
  año 2001 offset 1000 nuevas=0 total_db=29316
  año 2002 offset 1000 nuevas=0 total_db=29316
  año 2003 offset 1000 nuevas=0 total_db=29316
  año 2004 offset 1000 nuevas=0 total_db=29316
  año 2005 offset 1000 nuevas=0 total_db=29316
  año 2006 offset 1000 nuevas=0 total_db=29316
  año 2007 offset 1000 nuevas=0 total_db=29316
  año 2008 offset 1000 nuevas=0 total_db=29316
  año 2009 offset 1000 nuevas=0 total_db=29316
  año 2010 offset 1000 nuevas=0 total_db=29316
  año 2011 offset 1000 nuevas=0 total_db=29316
  año 2012 offset 1000 nuevas=0 total_db=29316
  año 2013 offset 1000 nuevas=0 total_db=29316
  año 2014 offset 1000 nuevas=0 total_db=29316
  año 2015 offset 1000 nuevas=0 total_db=29316
  año 2016 offset 1000 nuevas=0 total_db=29316
  año 2017 offset 1000 nuevas=0 total_db=29316
  año 2018 offset 1000 nuevas=0 total_db=29316
  año 2019 offset 1000 nuevas=0 total_db=29316
  año 2020 offset 1000 nuevas=0 total_db=29316
  año 2021 offset 1000 nuevas=0 total_db=29316
  año 2022 offset 1000 nuevas=0 total_db=29316
  año 2023 offset 1000 nuevas=0 total_db=29316
  año 2024 offset 1000 nuevas=0 total_db=29316
  año 2025 offset 1000 nuevas=0 total_db=29316
  año 2026 offset 1000 nuevas=0 total_db=29316
{'anios_cubiertos': 37, 'insertadas': 0, 'total_db': 29316}
